Ключ;Значение
арт._ОМ;артиллерия особой мощности артгруппа — артиллерийская группа артиллерия ДД — артиллерия дальнего действия
арт.;артиллерия, артиллерийский артбригада — артиллерийская бригада
арт.дивизия;артиллерийская дивизия
арт.корпус;артиллерийский корпус
артиллерия;ПП артиллерия поддержки пехоты
артполк;артиллерийский полк
ас;артиллерийский склад
асо;аварийно-спасательный отряд
атб;автотранспортный батальон
атр;автотранспортная рота
аэ;авиационная эскадрилья
б-н;батальон
б.;бывший
б/готовые;боеготовые
б/к;боекомплект
б/п;беспартийный
б/у;бывший в употреблении
б/ш;бикфордов шнур
б;батальон
бад;бомбардировочная авиационная дивизия
бак;бомбардировочный авиационный корпус
бао;батальон аэродромного обслуживания
бап;бомбардировочный авиационный полк
бат.;батарея, батальон
ббап;ближнебомбардировочный авиационный полк
бв;база вооружения
белы.;"бельгийский; бельгиец"
бзр;батарея звуковой разведки
биз;батальон инженерных заграждений
бк;боевой комплект
бмп;бригада морской пехоты
бомбардировочная;авиадивизия бомбардировочная авиационная дивизия
бомбардировочный;авиаполк бомбардировочный авиационный полк
бор;батарея оптической разведки
бп;боеприпас
бпл;бригада подводных лодок
бр_ПВО;бригада противовоздушной обороны
бр_р-н_ПВО;бригадный район противовоздушной обороны
бр._МП;бригада морской пехоты
бр._мор._пехоты;бригада морской пехоты
бр._РК;бригада речных кораблей
бр.;бригада
бр;бригада
брПВО;бригада ПВО
брат;база резерва авиационной техники
брдк;бригада десантных кораблей
бригада;шт. штук
брковр;бригада кораблей охраны водного района
брмп;бригада морской пехоты
брнк;бригада надводных кораблей
бро;батальон ранцевых огнеметов
брпл;бригада подводных лодок
брплк;бригада противолодочных кораблей
брремк;бригада ремонтируемых кораблей
бррзк;бригада разведывательных кораблей
бррка;бригада ракетных катеров
брсо;бригада судов обеспечения
брсремк;бригада строящихся и ремонтируемых кораблей
брсремпл;бригада строящихся и ремонтируемых подводных лодок
брсс;бригада спасательных судов
бртщ;бригада тральщиков
бруремк;бригада учебных и ремонтируемых кораблей
брхв;база ремонта и хранения вооружения
бсхзрв;база снабжения и хранения зенитно-ракетного вооружения
бтн;батальон
бтрз;бронетанковый ремонтный завод
бхаб;база хранения авиационных боеприпасов
бхб;база хранения боеприпасов
бхвт;база хранения вооружения и техники
бхрбпла;база хранения и ремонта беспилотных летательных аппаратов
бхрт;база хранения ракетной техники
бхтс;база хранения техники связи
бхуат;база хранения и утилизации авиационной техники
бхэ;база хранения экранопланов
быв.;бывший
бэ;бомбардировочная эскадрилья
в/пленный;военнопленный
в/ч;воинская часть
варем;войсковая авторемонтная мастерская
варз;военный авторемонтный завод
ввс;военно-воздушные силы
вдб;воздушно-десантный батальон
вдбр;воздушно-десантная бригада
вдд;воздушно-десантная дивизия
вдк;воздушно-десантный корпус
венгр.;венгерский (ая, ое)
вкл.;включительно
вмб;военно-морская база
вмг;военно-морской госпиталь
вмкг;военно-морской клинический госпиталь
воб;вычислительное отделение батареи
вод;вычислительное отделение дивизиона
вост.;восточный (ая, ое, ее)
всок;высшие офицерские классы
втад;военно-транспортная авиадивизия
втап;военно-транспортный авиаполк
вцок;Высшие центральные офицерские курсы
выс.;высота
габр;гаубичная артиллерийская бригада
гап;гаубичный артиллерийский полк
гау;(нем.) область
гауб.;гаубичный (ая)
гаубичный;артполк гаубичный артиллерийский полк
гбр;группа ближних разведчиков
гв.;гвардейский
гв.авиадивизия_дд;гвардейская авиационная дивизия дальнего действия
гв.авиакорпус_дд;гвардейский авиационный корпус дальнего действия
гв.армия;гвардейская армия
гв.арт.дивизия;тяжелая пушечная гвардейская тяжелая пушечная артиллерийская дивизия
гв.бригада;минеров гвардейская бригада минеров
гв.вдбр;гвардейская воздушно-десантная бригада
гв.вдд;гвардейская воздушно-десантная дивизия
гв.вдп;гвардейский воздушно-десантный полк
гв.гсд;гвардейская горно-стрелковая дивизия
гв.гсп;гвардейский горно-стрелковый полк
гв.зенад_пво;гвардейская зенитно-артиллерийская дивизия противовоздушной обороны
гв.зенад_ргк;гвардейская зенитно-артиллерийская дивизия резерва главного командования
гв.ибрсн;гвардейская инженерная бригада спецназначения
гв.исбр;гвардейская инженерно-саперная бригада
гв.кд;гвардейская кавалерийская дивизия
гв.кк;гвардейский кавалерийский корпус
гв.крейсер;гвардейский крейсер
гв.лсдно;гвардейская ленинградская дивизия народного ополчения
гв.мехк;гвардейский механизированный корпус
гв.мотоибр;гвардейская мотоинженерная бригада
гв.мсбр;гвардейская мотострелковая бригада
гв.мсд;гвардейская мотострелковая дивизия
гв.мсп;гвардейский мотострелковый полк
гв.мшисбр;гвардейская моторизованная штурмовая инженерно-саперная бригада
гв.оморсбр;гвардейская отдельная морская стрелковая бригада
гв.осбр;гвардейская отдельная стрелковая бригада
гв.сд;гвардейская стрелковая дивизия
гв.ск;гвардейский стрелковый корпус
гв.смешанная;авиадивизия гвардейская смешанная авиационная дивизия
гв.смешанный;авиакорпус гвардейский смешанный авиационный корпус
гв.сп;гвардейский стрелковый полк
гв.танковая;бригада гвардейская танковая бригада
гв.тк;гвардейский танковый корпус
гв.транспортная;авиадивизия гвардейская транспортная авиационная дивизия
гв.ур;гвардейский укрепленный район
гв.шисбр;гвардейская штурмовая инженерно-саперная бригада
гв.штурмовая;авиадивизия гвардейская штурмовая авиационная дивизия
гв.штурмовой;авиаполк гвардейский штурмовой авиационный полк
гвкг;главный военный клинический госпиталь
гиад;гвардейская истребительная авиационная дивизия
гиак;гвардейский истребительный авиационный корпус
гисбр;горная инженерно-саперная бригада
гкд;горнокавалерийская дивизия
гл.;главный
гмд;гвардейский минометный дивизион
гминбр;горная минно-инженерная бригада
гмп;гвардейский минометный полк
гнр;группа ночных разведчиков
гоап;гвардейский отдельный авиационный полк
гол.;склад головной склад
гол.,;голл. голландский (ая, ое)
гпсд;горно-пехотная стрелковая дивизия
гр;группа
грПсО;группа психологических операций
гренад.;гренадерский
гсбр;горнострелковая бригада
гсд;горнострелковая дивизия
гск;горно-стрелковый корпус
гсмд;гвардейская мотострелковая дивизия
гсп;горнострелковый полк
д-н;брп дивизион бронепоездов
д/ш;детонирующий шнур
д;дивизия
дПВО;дивизия ПВО
дабр;дивизионная артиллерийская бригада
дарм;дивизионная артиллерийская ремонтная мастерская
дбад;дальне-бомбардировочная авиационная дивизия
дбп;дальнебомбардировочный полк
двл;дивизионный ветеринарный лазарет
двф;дальневосточный фронт
дд;дальнего действия
див._ПВО;дивизия противовоздушной обороны
див._р-н_ПВО;дивизионный район противовоздушной обороны
див.;дивизия
дивизия;пво дивизия противовоздушной обороны
дккп;дивизия контроля космического пространства
дктр;дивизион катеров-тральщиков
дмп;дивизия морской пехоты
дн;дивизион
днк;дивизия надводных кораблей
днквп;дивизион кораблей на воздушной подушке
днковр;дивизион кораблей охраны водного района
дно;дивизия народного ополчения
днрка;дивизион ракетных катеров
днтщ;дивизион тральщиков
дон;дивизия особого назначения
дпл;дивизия подводных лодок
дплк;дивизия противолодочных кораблей
дпрн;дивизия предупреждения о ракетном нападении
дпро;дивизия противоракетной обороны
драп;дальне-разведывательный авиационный полк
дрк;дивизия ракетных кораблей
дрпксн;дивизия ракетных подводных крейсеров стратегического назначения
дрс;дивизион разведывательной службы
дрэ;дивизион разведывательной эскадрильи
дшп;десантно-штурмовой полк
дэб;дорожно-эксплуатационный батальон
дэп;дорожно-эксплуатационный полк
ж.д.;железная дорога
жбот;железобетонная огневая точка
жд;железнодорожный
зам;заместитель
зап,;зенап зенитный артиллерийский полк
зап.;запасный — (ая)
зап.бригада;химзащиты запасная бригада химзащиты
зап.исбр;запасная инженерно-саперная бригада
зап.полк;запасной полк
зап;зенитный артиллерийский полк
запп;запасный полк
зато;завод авиатехнологического оборудования
зен.;зенитный
зенад_мза;зенитно-артиллерийская дивизия мелкокалиберной зенитной артиллерии
зенад_пво;зенитно-артиллерийская дивизия противовоздушной обороны
зенад_ргк;зенитно-артиллерийская дивизия резерва главного командования
зенад;зенитная артиллерийская дивизия
зенадн;зенитный артиллерийский дивизион
зенап;зенитный артиллерийский полк
зенбатр;зенитная артиллерийская батарея
зенпулр;зенитная пулеметная рота
зкп;запасный командный пункт
злп;запасный лыжный полк
зобс;запасной отдельный батальон связи
зоиптд;запасной отдельный истребительно-противотанковый дивизион
зорс;запасная отдельная рота связи
зпд;запасная пехотная дивизия
зппв;зенитно-пулеметно-пушечный взвод
зрав;завод по ремонту ракетно-артиллерийского вооружения
зрвти;завод по ремонту военно-технического имущества
зрп;зенитно-ракетный полк
зрр;запасная разведывательная рота
зсапр;запасная саперная рота
зсб;запасный стрелковый батальон
зсбр;запасная стрелковая бригада
зсд;запасная стрелковая дивизия
зсп;запасный стрелковый полк
зср;запасня стрелковая рота
и._о.;исполняющий обязанности
и/с;интендантская служба
иабр;истребительная авиационная бригада
иад;истребительная авиационная дивизия
иак;истребительный авиационный корпус
иап;истребительный авиационный полк
иаэ;истребительная авиационная эскадрилья
ибр;истребительная бригада
ибрсн;инженерная бригада спецназначения
ивтап;инструкторский военно-транспортный авиаполк
ид;истребительная дивизия
иисап;исследовательско-инструкторский смешанный авиаполк
им.;имени
иминбр;инженерно-минная бригада
инж.;инженерный
инжб;ишженерный батальон
инжбат;инженерный батальон
инжбр;инженерная бригада
ип;истребительный полк, инженерный полк
иптабр;истребительно-противотанковая артиллерийская бригада
иптап;истребительный противотанковый артиллерийский полк
иптд;истребительно-противотанковый артиллерийский дивизион
ис;инженерный склад
исапб;инженерно-саперный батальон
исб;инженерно-саперный батальон
исапбр;инженерно-саперная бригада
исбр;инженерно-саперная бригада
иск.;исключительно
истр.;истребительный
итл;исправительно-трудовой лагерь
иц;испытательный центр
к-з;колхоз (коллективное хозяйство)
к-р;командир
к/р;контрреволюционный
кабр;корпусная артиллерийская бригада
кав.;кавалерийский (ая)
кан.;канадский (ая, ое)
кап;корпусной артиллерийский полк
каэ;корректировочная авиационная эскадрилья
кбр;кавалерийская бригада
кбф;краснознаменный балтийский флот
квл;корпусной ветеринарный лазарет
кг;килограмм
кд;кавалерийская дивизия
кдц;комплексный диагностический центр
кк;кавалерийский корпус
кн.;кандидат
ком.;командир
командарм;командующий армией
комэск;командир эскадрильи
коо;комендатура охраны и обеспечения
корп.;корпусная
кп;кавалерийский полк
кр-ц;красноармеец
крейсер;крейсер
ксп;командир стрелкового полка
кшр;кабельно-шестовая рота
кэск;кавалерийский эскадрон
л-т;лейтенант
л/с;личный состав
лабр;легкая артиллерийская бригада
лап;легкий артиллерийский полк
лб;лыжный батальон
лбабр;легкая бомбардировочная авиабригада
лбад;легкая бомбардировочная авиадивизия
лбап;легкий бомбардировочный авиационный полк
лбс;линейный батальон связи
лгск;легкий горнострелковый корпус
лдц;лечебно-диагностический центр
легкий_гск;легкий горно-стрелковый корпус
легкий_ск;легкий стрелковый корпус
лед;лыжно-егерская дивизия
леп;лыжно-егерский полк
либ;легко-инженерный батальон
линкор;линкор
лпд;легкая пехотная дивизия
лсап;легкий самоходный полк
лсбр;легкострелковая бригада
лсдно;ленинградская стрелковая дивизия народного ополчения
лск;легкий стрелковый корпус
лыжб;лыжный батальон
м.;местечко (населенный пункт)
м/к;малокалиберный
м/с;медицинская служба
мап;минометный артиллерийский полк
мббр;мотобронебригада
мбр;моторизованная бригада
мд;моторизованная дивизия
медсанбат;медико-санитарный батальон
медсанр;медико-санитарная рота
мехбр;механизированная бригада
мехк;механизированный корпус
миб;моторизованный инженерный батальон
мибр;моторизованная инженерная бригада
мин.;минометный (ая)
минб;минометный батальон
минбр;минометная бригада
минд;минометный дивизион
минполк;минометный полк
мп;моторизованный полк
минп;минометный полк
мк;механизированный корпус
мкцссв;методико-кинологический центр служебного собаководства
мл.;младший
мм;миллиметр
мор.,;морск. морской
морсбр;морская бригада
морской;развед.авиаполк морской разведывательный авиационный полк
мосн;медицинский отряд специального назначения
мотоибр;мотоинженерная бригада
мпмб;моторизованный понтонно-мостовой батальон
мпмбр;моторизованная понтонно-мостовая бригада
мрад;морская ракетоносная авиадивизия
мрап;морской ракетоносный авиаполк
мруцбпрва;межвидовой региональный учебный центр боевой подготовки ракетных войск и артиллерии
мруцврхбз;межвидовой региональный учебный центр войск радиационной, химической и биологической защиты
мруцвс;межвидовой региональный учебный центр войск связи
мсб;минно-саперный батальон
мсбр;мотострелковая бригада
мсд;мотострелковая дивизия
мсдно;московская стрелковая дивизия народного ополчения
мсп;мотострелковый полк
муцвс;межрегиональный учебный центр войск связи
муцив;межрегиональный учебный центр инженерных войск
мцп;мотоциклетный полк
мшисбр;моторизованная штурмовая инженерно-саперная бригада
н/н;неустановленной нумерации
над;ночная авиационная дивизия
нарком;народный комиссар [611]
нац._ком.;национальный комитет
нац.-соц.;национал-социалистический
нач.;начальник
начштадив;начальник штаба дивизии
нбад;ночная бомбардировочная авиационная дивизия
нгд;народная гренадерская дивизия
нем.;немецкий
нкпс;народный комиссариат путей сообщения
нр;номер
о;отряд
оаад;отдельный армейский артиллерийский дивизион
оабрбм;отдельная артиллерийская бригада большой мощности
оад_о/м;отдельный артиллерийский дивизион особой мощности
оад;отдельный артиллерийский дивизион
оадн;отдельный артиллерийский дивизион
оамб;отдельный автомобильный батальон
оапсз;отдельный авиаполк самолетов-заправщиков
оатб;отдельный автотранспортный батальон
обв;отдельный батальон выздоравливающих
обвп;отдельный боевой вертолетный полк
обмо;отдельный батальон материального обеспечения
обмп;отдельный батальон морской пехоты
обоо;отдельный батальон охраны и обеспечения
обпдбСпН;отдельный батальон противодиверсионной борьбы специального назначения
обр.;образец
обрСпН;отдельная бригада специального назначения
обрдн;отдельный береговой ракетный дивизион
обрмп;отдельная бригада морской пехоты
обрп;отдельный береговой ракетный полк
обррхбз;отдельная бригада радиационной, химической и биологической защиты
обрс;отдельная бригада связи
обрхбз;отдельный батальон радиационной, химической и биологической защиты
обрэб;отдельный батальон радиоэлектронной борьбы
обс;отдельный батальон связи
обтр;отдельная бронетанковая рота
обука;отряд буксирных катеров
обхз;отдельный батальон химической защиты
овб;отдельный восстановительный батальон
овдбр;отдельная воздушно-десантная бригада
овкг;окружной военный клинический госпиталь
овп;отдельный вертолетный полк
овпбу;отдельный вертолетный полк боевого управления
овтаэ;отдельная военно-транспортная авиаэскадрилья
овэ;отдельная вертолетная эскадрилья
овэрэб;отдельная вертолетная эскадрилья радиоэлектронной борьбы
огвзв;огнеметный взвод
огн.,;огнеметн. огнеметный (ая)
огн.б;огнеметный батальон
огн.р;огнеметная рота
огсбр;отдельная горнострелковая бригада
огсп;отдельный горно-стрелковый полк
одб;отдельный дисциплинарный батальон
одкбр;отдельная дорожно-комендантская бригада
однпл;отдельный дивизион подводных лодок
одон;отдельная дивизия оперативного назначения
одраэ;отдельная дальняя разведывательная авиаэскадрилья
одшбр;отдельная десантно-штурмовая бригада
оз.;озеро
озад;отдельный зенитный артиллерийский дивизион
озадн;отдельный зенитный артиллерийский дивизион
озпр;отдельная зенитно-пулеметная рота
озрбр;отдельная зенитно-ракетная бригада
оиаб;отдельный инженерно-аэродромный батальон
оиап;отдельный истребительный авиационный полк
оиб;отдельный инженерный батальон
оибр;отдельная истребительная бригада
оиивэ;отдельная исследовательско-инструкторская вертолетная эскадрилья
оинжб;отдельный инженерный батальон
оинжр;отдельная инженерная рота
оипд;отдельный инженерно-противотанковый дивизион
оиптабр;отдельная истребительно-противо-танковая артиллерийская бригада
оиптап;отдельный истребительно-противо-танковый артиллерийский полк
оиптд;отдельный истребительно-противотанковый дивизион
оисб;отдельный инженерно-саперный батальон
оисбр;отдельная инженерно-саперная бригада
оисп;отдельный инженерно-саперный полк
оитапон;отдельный испытательно-тренировочный авиаполк особого назначения
окавп;отдельный кавалерийский полк
окиап;отдельный корабельный истребительный авиаполк
окп;отдельный комендантский полк
окплвп;отдельный корабельный противолодочный вертолетный полк
окплвэ;отдельная корабельная противолодочная вертолетная эскадрилья
окр.;окраина
окрап;отдельный корректировочно-разведывательный авиационный полк
округ;округ
окурсбр;отдельная курсантская стрелковая бригада
окшр;отдельная кабельно-шестовая рота
олбр;отдельная лыжная бригада
омб;отдельный моторизованный батальон
омд;отдельный минометный дивизион
омиб;отдельный морской инженерный батальон
омибр;отдельная мото-инженерная бригада
оминб;отдельный минометный батальон
оминд;отдельный минометный дивизион
оморсбр;отдельная морская стрелковая бригада
омпмб;отдельный моторизованный понтонно-мостовой батальон
омпоб;отдельный минно-подрывной огнеметный батальон
омрап;отдельный морской ракетоносный авиаполк
омс;отделение метеорологической службы
омсб;отдельный мотострелковый батальон
омсбр;отдельная мотострелковая бригада
омсп;отдельный мотострелковый полк
омшап;отдельный морской штурмовой авиаполк
омшаэ;отдельная морская штурмовая авиаэскадрилья
оо;отдельный отряд
ооб;отдельный огнеметный батальон
ообмп;Отдельный особый батальон морской пехоты
оор;отдельная огнеметная рота
оохб;отдельный огнеметно-химический батальон
опаб;отдельный пулеметно-артиллерийский батальон
опдп;отдельный парашютно-десантный полк
опер._отдел;оперативный отдел
оперто;отдельный полк связи и радиотехнического обеспечения
оплапдд;отдельный противолодочный авиаполк дальнего действия
оплвп;отдельный противолодочный вертолетный полк
опмб;отдельный понтонно-мостовой батальон
опмп;отдельный полк морской пехоты
опрэб;отдельный полк радиоэлектронной борьбы
опс;отдельный полк связи
опсрто;отдельный полк связи и радиотехнического обеспечения
оптадн;отдельный противотанковый дивизион
оптб;отдельный противотанковый батальон
оптд;отдельный противотанковый дивизион
опулб;отдельный пулеметный батальон
опэскнк;оперативная эскадра надводных кораблей
опэскпл;оперативная эскадра подводных лодок
ор;огнеметная рота
орад;отдельный разведывательный артиллерийский дивизион
орадб;отдельный радиобатальон
оран;отдельный разведывательный авиационный полк
орао;отдельный разведывательный авиаотряд
орб;отдельный разведывательный батальон
орбр;отдельная ракетная бригада
орвб;отдельный ремонтно-восстановительный батальон
ореабр;отдельная реактивная артиллерийская бригада
ореадн;отдельный реактивный артиллерийский дивизион
орлр;отдельная радиолокационная рота
орму;отдельная рота медусиления
ороб;отдельный ранцевый огнеметный батальон
орпСпН;отдельный разведывательный полк специального назначения
орпк;орудийный полукапонир
орс;отдельная рота связи
ортбрОсНаз;отдельная радиотехническая бригада особого назначения
орту;отдельный радиотехнический узел
ору;отдельный радиоузел
орхз;отдельная рота химзащиты
орхр;отдельная рота химразведки
осад;отдельный самоходно-артиллерийский дивизион
осамрр;отдельная самокатно-разведывательная рота
осап;отдельный смешанный авиаполк
осапб;отдельный саперный батальон
осаэ;отдельная смешанная авиаэскадрилья
осб;отдельный стрелковый батальон
осбр;отдельная стрельковая бригада
осбро;отдельная стрелковая бригада охраны
осдн;отдельный салютный дивизион
оск;особый стрелковый корпус
особ._назнач.;особого назначения
особарм;особый отдел армии
особдив;особый отдел дивизии
осп;отдельный стрелковый полк
осплап;отдельный смешанный противолодочный авиаполк
отадн;отдельный тяжёлый артиллерийский дивизион
отб;отдельный танковый батальон
отбвп;отдельный транспортно-боевой вертолетный полк
отбр;отдельная танковая бригада
отд.;отдельный
отдельный_сп;отдельный стрелковый полк
отдельный_уч.сп;отдельный учебный стрелковый полк
отм.;отметка
отп;отдельный танковый полк
отпад;отдельный тяжелый пушечный артиллерийский дивизион
отрб;отдельный танко-ремонтный батальон
оттр;отдельная трофейно-техническая рота
отэр;отдельная техническо-эвакуационная рота
оутц;отдельный учебно-тренировочный центр
оуц;окружной учебный центр
охр.;охранный (ая)
оэбпла;отдельная эскадрилья беспилотных летательных аппаратов
оэр;отдельная эксплуатационная рота
оэтр;отдельная элетротехническая рота
п-к;полковник
п.;пункт
п.г.;прошлого года
п/о;почтовое отделение
п/п;полевая почта
п/я;почтовый ящик
пабр;пушечная артиллерийская бригада
пап;пушечный артиллерийский полк
парм;подвижная авиационная ремонтная мастерская (автомобильного типа), полевая артиллерийская ремонтная мастерская
пах;полевой автохлебозавод
пб;пехотный батальон
пбр;пехотная бригада
пд;пехотная дивизия
пдп;парашютно-десантный полк
пех.;пехотный (ая, ое)
пкг;полевая касса Госбанка
плавсредства;плавучие средства
платф.;платформа
пмб;понтонно-мостовой батальон
пмп;понтонно-мостовой полк
пмто;пункт материально-технического обеспечения
поарм;политотдел армии
погз;пограничная застава
пого;пограничный отряд
погран.;пограничный
полиц.;полиция
польск.;польский (ая, ое)
помбр;понтонно-мостовая бригада
помп;понтонно-мостовой полк
понб;понтонный батальон
понмбр;понтонно-мостовая бригада
порам;походная автомастерская для ремонта обуви
порем;походная автомастерская для ремонта обоза
пп;пехотный полк
ппг;полевой подвижный госпиталь
ппс;полевая почтовая станция
пр-к;противник
приг.;пригород
прим.;примечание
продфураж;продовольствие и фураж
псн;полк специального назначения
псп;пластунский стрелковый полк
птабр;противотанковая артиллерийская бригада
птбр;противотанковая бригада
птд,;птдн противотанковый дивизион
птд;противотанковый дивизион
пулад;пулеметно-артиллерийская дивизия
пулап;пулеметно-артиллерийский полк
пулбат;пулеметный батальон
пульбат;пулеметный батальон
пулр;пулеметная рота
пульрота;пулеметная рота
пуль._взвод;пулеметный взвод
пхп;полевая хлебопекарня
р-н;район
р.;река
р/д;разведывательные данные
раг;разведывательная авиационная группа
рад;разведывательный артиллерийский дивизион
разгранлиния;разграничительная линия
рап;разведывательный авиационный полк
рб;разведывательный батальон
рвб;ремонтно-восстановительный батальон
рвр;ремонтно-восстановительная рота
рд;резервная дивизия
реап;реактивный артиллерийский полк
рез.;резерв(ный)
рз;ремонтный завод
рквмф;рабоче-крестьянский военно-морской флот
ркка;рабоче-крестьянская красная армия
ркквмф;рабоче-крестьянский военно-морской флот
рр;разведывательная рота
ррег;рота регулирования
ртбр;радиотехническая бригада
рто;рота технического обслуживания
ртп;радиотехнический полк
с-з;северо-западный
с.;село
с.г.;сего года
с/г;сего года
с/о;секретный осведомитель
со;секретный осведомитель
с/с;сельский совет
сабр;самоходная артиллерийская бригада
сад;смешанная авиационная дивизия
сак;смешанный авиационный корпус
санап;санитарный авиаполк
сап._А;саперная армия
сап;самоходный артиллерийский полк
сапб;саперный батальон
сапбр;саперная бригада
сапп;саперный полк
сапр;саперная рота
сб;стрелковый батальон
сбабр;авиабригада стратегических бомбардировщиков
сбап;скоростной бомбардировочный авиационный полк
сбп;
сбр;стрелковая бригада
сводн.;сводный
свх.;совхоз (советское хозяйство)
сд_НО;стрелковая дивизия народного ополчения
сд;стрелковая дивизия
сдно;стрелковая дивизия народного ополчения (Саратовская)
сев.;северный
ск;стрелковый корпус
смеш.авиадивизия;смешанная авиационная дивизия
смэ;смешанная эскадрилья
сн;стратегического (специального) назначения
снбап;скоростной ночной бомбардировочный авиационный полк [612]
снд;сопряженное наблюдение дивизиона
сов.;совершенно
сп;стрелковый полк
ср;стрелковая рота
срз;судоремонтный завод
ст.;статья
стр.;стрелковый (полк, дивизия)
стройбат;строительный батальон
т-ма;телеграмма
т.;товарищ
танк.;танковый (ая)
тб;танковый батальон
тбабр;тяжело-бомбардировочная авиабригада
тбад;тяжелая бомбардировочная авиадивизия
тбап;тяжелый бомбардировочный авиаполк
тбв;техническая база вооружения
тбр;танковая бригада
тбэ;эскадрилья тяжелых бомбардировщиков
твв;топо-вычислительный взвод
тгабр;тяжелая гаубичная бригада
тго;топогеодезический отряд
тд;танковая дивизия
теп;танко-самоходный полк
тк;танковый корпус
тов.;товарищ
топотделение;топографическое отделение
тп;танковый полк
тпбр;трубопроводная бригада
тпмп;тяжелый понтонно-мостовой полк
тпп;танковый пок прорыва
тр;танковая рота
транспортная;авиадивизия транспортная авиационная дивизия
тсап;тяжелый самоходный артиллерийский полк
тср;телеграфно-строительная рота
тт;телефонотелеграфная связь
ттп;тяжелый танковый полк
тф;технический факультет
тэр;телеграфно-эксплуатационная рота
уа;ударная армия
уабр;учебная артиллерийская бригада
уавтбр;учебная автомобильная бригада
уап;учебный авиационный (артиллерийский) полк
уапд;учебная авиаполевая дивизия
уаэ;учебная авиаэскадрилья
увп;учебный вертолетный полк
уибр;учебная инженерная бригада
укреп.;укрепленный (ая)
умсп;учебный мотострелковый полк
уопп;учебный отряд подводного плавания
упр.;управление
ур.;урочище
ур;укрепленный район
урож.;уроженец
ус;узел связи
усбр;учебная стрелковая бригада
усд;учебная стрелковая дивизия
утп;учебный танковый полк
утц;учебно-тренировочный центр
уц;учебный центр
уцбпбпр;учебный центр боевой подготовки и боевого применения
уцбпр;учебный центр боевого применения
уцбпрва;учебный центр боевой подготовки ракетных войск и артиллерии
уцвСпН;учебный центр войск специального назначения
уцив;учебный центр инженерных войск
уцрэб;учебный центр радиоэлектронной борьбы
уцс;учебный центр связи
уч.артполк;учебный артиллерийский полк
уч.минометный;полк учебный минометный полк
уч.полк;автоматчиков учебный полк автоматчиков
уч.противотанковый;артполк учебный противотанковый артиллерийский полк
уч.пулеметный;полк учебный пулеметный полк
уч.сп;учебный стрелковый полк
учад;учебный артиллерийский дивизион
учб;учебный батальон
учп;учебный полк
фл.;флигель
фл;филиал
флпл;флотилия подводных лодок
флррс;флотилия разнородных сил
фр.;фронт (фронтовой)
х.;хутор
хут.;хутор
царз;центральный авторемонтный завод
цбат;центральная база автомобильной техники
цбпасв;центр боевой подготовки авиации сухопутных войск
цбпплс;центр боевой подготовки и переучивания летного состава
цбпрвсрхбз;центральная база производства и ремонта вооружения и средств радиационной, химической и биологической защиты
цбрв;центральная база резерва вертолетов
цбрт;центральная база резерва танков
цбти;центральная база технического имущества
цбховдт;центральная база хранения и обслуживания воздушно-десантной техники
цбхрт;центральная база хранения и резерва техники
цвг;центральный военный госпиталь
цвкг;центральный военный клинический госпиталь
цвктубг;центральный военный клинический туберкулезный госпиталь
цвмкг;центральный военно-морской клинический госпиталь
цвниаг;центральный военный научно-исследовательский авиационный госпиталь
циб;центральная инженерная база
цлмки;Центральная лаборатория медицинско-криминалистической экспертизы
цок;центральные офицерские курсы
цпат;центр показа авиационной техники
цпвн;центр подготовки военных наблюдателей
црб;центральная ремонтная база
црбрлв;центральная ремонтная база радиолокационного вооружения
црэр;центр радиоэлектронной разведки
цсои;центр сбора и обработки информации
цус;центральный узел связи
шад;штурмовая авиационная дивизия
шак;штурмовой авиационный корпус
шап;штурмовой авиационный полк
шисбр;штурмовая инженерно-саперная
шт;школа техников
штакор;штаб корпуса
штарм;штаб армии
штафронта;штаб фронта
штрафб;штрафной батальон
штурмовая;авиадивизия штурмовая авиационная дивизия
штурмовой;авиаполк штурмовой авиационный полк
шэ;штурмовая эскадрилья
эарз;экспериментальный авторемонтный завод
эди;эскадрилья двухмоторных истребителей
электробат;электро-технический батальон
эни;эскадрилья ночных истребителей
эст.;эстонский (ая, ое)
эш;эшелон
