Ключ;Значение
ГИЦИУ_КС;Главный испытательный центр испытаний и управления космическими средствами
ГК;главное командование (главкомат)
ГКО;Государственный Комитет Обороны
ГЛИЦ;Государственный летно-испытательный центр
ГЛР;госпиталь для легкораненых
ГМЧ;гвардейские минометные части
ГОУ;губернский отдел управления
ГПУ;Главное политическое управление
ГРАУ;Главное ракетно-артиллерийское управление
ГРВЗ;группа российских войск в Закавказье
ГРУ;Главное разведывательное управление
ГС;головная станция
ГСМ;горюче-смазочные материалы
ГСОВГ;Группа советских оккупационных войск в Германии
ГУ_ВВР;Главное управление военно-восстановительных работ
ГУ_ВВС;Главное управление Военно-Воздушных сил
ГУ_ГВФ;Главное управление Гражданского воздушного флота
ГУ_ГМС;Главное управление гидрометеослужбы
ГУ_КАРТ;Главное управление командующего артиллерией
ГУ;Главное управление
ГУГК;Главное управление геодезии и картографии
ГУК;Главное управление кадров
ГУНАРТ;Главное управление начальника артиллерии
ГУОБР;Главное управление оборонительных работ
ГУПВИ;Главное управление по делам военнопленных и интернированных
ГУПВО;Главное управление противовоздушной обороны
ГУПС;Главное управление продовольственным снабжением
Главупродснаб;Главное управление продовольственного снабжения
ГУРТ;Главное управление ремонта танков
ГУС;Главное управление связи
ГУТ;Главное управления тыла
ГУФиУВ;Главное управление формирования и укомплектования войск
ГУШОСДОР;Главное управление шоссейных дорог
ГФП;(нем. GFP - Geheime Feldpolizei) - тайная полевая полиция (жандармерия)
ГЦМП;Государственный центральный морской полигон
ГЦП;Государственный центральный полигон
ГШ;генеральный штаб
Гарврач;гарнизонный врач
Гестапо;(нем. Gestapo - Geheime Staatspolizei) Тайная государственная полиция
Глав-ПУР;Главное политическое управление Красной Армии
Глав-ПУРККА;Главное политическое управление Рабоче-Крестьянской Красной Армии
ГлавПУ_РККА;Главное политическое управление Красной Армии
ГлавПУРККА;Главное политическое управление Рабоче-Крестьянской Красной Армии
Главвоенсанупр,;Главсанупр Главное военко-санитарное управление
Главвсезобуч;Главное управление всеобщего военного обучения
Главдорупр;Главное дорожное управление
Главкожа;Главное управление кожевенной промышленности
Главком;Главнокомандующий
Главлит;Главное управление по охране военных и государственных тайн в печати
Главсахар;Главное управление сахарной промышленности
Главупраформ;Главное управление формирования и укомплектования войск
ГосНИИ;государственный научно-исследовательский институт
Госиздат;государственное издательство
Госконтроль;государственный контроль
Губисполком;Губернский исполнительный комитет
Губком;губернский комитет
Губкомболь;губернский комитет большевистской партии - РКП(б)
Губкомдезертир;губернская комиссия по борьбе с дезертирством
Губкоммол;губернский комитет Российского Коммунистического Союза Молодежи
Гублеском;губернский лесной комитет
Губмоббюро;административно-мобилизационный отдел губернского военного комиссариата
Губпредком;губернский продовольственный комитет
Губпринудработ;подотдел принудительных работ губернского отдела управления
Губреквизотдел;губернский реквизиционный отдел
Губстатбюро;губернское статистическое бюро
Губчека;губернская чрезвычайная комиссия по борьбе с контрреволюцией и саботажем
